    Shimmering 	        Fleeting 	    Pulsing 	    Wellspring 	    Soothing 	    Hungry 	            Abounding
A	Fire Boost	        Magic Haste	    Leaf Bracer	    Air Combo Plus	HP Boost	    HP Prize Plus	    Link Prize Plus
B	Fire Boost	        Reload Boost	Finish Boost	Once More	    Damage Syphon	HP Prize Plus	    EXP Chance
C	Fire Screen	        Attack Haste	Finish Boost	Combo Plus	    HP Boost	    HP Prize Plus	    Link Prize Plus
D	Fire Screen	        Attack Haste 	Leaf Bracer	    Combo Plus	    HP Boost	    HP Prize Plus	    Link Prize Plus
E	Blizzard Boost	    Magic Haste	    Leaf Bracer	    Combo Plus	    Item Boost	    HP Prize Plus	    Lucky Strike
F	Blizzard Boost	    Reload Boost	Second Chance	Air Combo Plus	Damage Syphon	HP Prize Plus	    Lucky Strike
G	Blizzard Screen	    Attack Haste	Leaf Bracer	    Air Combo Plus	Item Boost	    HP Prize Plus	    Luck Boost
H	Blizzard Screen	    Magic Haste	    Combo F Boost	Air Combo Plus	Item Boost	    HP Prize Plus	    EXP Walker
I	Thunder Boost	    Magic Haste	    Combo F Boost	Air Combo Plus	HP Boost	    Treasure Magnet	    Link Prize Plus
J	Thunder Boost	    Reload Boost	Combo F Boost	Once More	    Defender	    Treasure Magnet	    EXP Chance
K	Thunder Screen	    Attack Haste	Finish Boost	Combo Plus	    HP Boost	    Treasure Magnet	    Link Prize Plus
L	Thunder Screen	    Attack Haste	Finish Boost	Combo Plus	    HP Boost	    Treasure Magnet	    Lucky Strike
M	Cure Boost	        Magic Haste	    Combo F Boost	Combo Plus	    Item Boost	    Treasure Magnet	    Lucky Strike
N	Cure Boost	        Reload Boost	Second Chance	Combo Plus	    Defender	    Treasure Magnet	    Lucky Strike
O	Dark Screen	        Attack Haste	Finish Boost	Air Combo Plus	Item Boost	    Treasure Magnet	    Lucky Strike
P	Dark Screen	        Magic Haste	    Combo F Boost	Air Combo Plus	Item Boost	    Treasure Magnet	    EXP Walker


Command 	        1st Ingredient 	        2nd Ingredient 	    Type 	Used By 	%
Blitz	            Quick Blitz	            Slot Edge	        O		            90
Blitz	            Barrier Surge	        Wishing Edge	    P		            90
Blitz	            Stun Edge	            Slot Edge	        K		            90
Meteor Crash	    Blitz	                Quake	            N		            100
Meteor Crash	    Fire Strike	            Brutal Blast	    D		            100
Magic Hour	        Blitz	                Zero Graviga	    O		            90
Magic Hour	        Barrier Surge	        Aeroga	            N		            90
Fire Dash	        Sliding Dash	        Fire	            D		            100
Fire Dash	        Sliding Dash	        Fira	            C		            100
Fire Dash	        Confusion Strike	    Fire	            D		            100
Dark Haze	        Fire Dash	            Zero Gravira	    D		            100
Dark Haze	        Fire Dash	            Blackout	        A		            100
Dark Haze	        Fire Surge	            Zero Gravity	    C		            100
Sonic Blade	        Blitz	                Dark Haze	        D		            90
Sonic Blade	        Blitz	                Air Slide	        N		            90
Sonic Blade	        Fire Dash	            Thunder Surge	    K		            90
Chaos Blade	        Dark Haze	            Sonic Blade	        B		            90
Zantetsuken	        Dark Haze	            Stopga	            B		            80
Zantetsuken	        Sonic Blade	            Stopga	            F		            80
Strike Raid	        Quick Blitz	            Sliding Dash	    O		            100
Freeze Raid	        Strike Raid	            Blizzara	        I		            100
Freeze Raid	        Blizzard Edge	        Binding Strike	    K		            100
Treasure Raid	    Strike Raid	            Slot Edge	        O		            100
Treasure Raid	    Slot Edge	            Magnet	            D		            100
Treasure Raid	    Slot Edge	            Magnera	            K		            100
Spark Raid	        Freeze Raid	            Magnega	            J		            100
Spark Raid	        Treasure Raid	        Magnega	            N		            100
Spark Raid	        Thunder Surge	        Dodge Roll	        P		            20
Spark Raid	        Thundaga	            Dodge Roll	        L		            20
Spark Raid	        Dodge Roll	            Stun Block	        L		            20
Wind Raid	        Freeze Raid	            Aeroga	            B		            100
Wind Raid	        Treasure Raid	        Aeroga	            F		            100
Fire Surge	        Fire Dash	            Ignite	            D		            100
Fire Surge	        Fire Strike	            Fira	            A		            100
Fire Surge	        Confusion Strike	    Fira	            O		            100
Fire Surge	        Binding Strike	        Fira	            K		            100
